,Type,AB,Site,Impurity,∆H (A-rich),∆H (B-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),Unnamed: 12,Descriptors ->,Unnamed: 14,AB ->,PBE_delta_H,PBE_latt_const,PBE_gap,Eps_elec,Eps_ion,Ion_rad,BP,MP,Density,At_wt,ICSD_vol,Cov_rad,Ion_Energy,At_rad_1,Elec_Aff,At_rad_2,At_vol,Mend_num,Ion_pot_1,Ion_pot_2,Thermal_expn,Sp_heat_cap,Therm_cond,Elec_cond,Heat_fusion,Heat_vap,Electronegativity,At_num,Period,Group,Valence,Ox_state,Ion_rad.1,BP.1,MP.1,Density.1,At_wt.1,ICSD_vol.1,Cov_rad.1,Ion_Energy.1,At_rad_1.1,Elec_Aff.1,At_rad_2.1,At_vol.1,Mend_num.1,Ion_pot_1.1,Ion_pot_2.1,Thermal_expn.1,Sp_heat_cap.1,Therm_cond.1,Elec_cond.1,Heat_fusion.1,Heat_vap.1,Electronegativity.1,At_num.1,Period.1,Group.1,Valence.1,Ox_state.1,Unnamed: 75,CM ->,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,Unnamed: 85,Elem ->,Ion_rad.2,BP.2,MP.2,Density.2,At_wt.2,ICSD_vol.2,Cov_rad.2,Ion_Energy.2,At_rad_1.2,Elec_Aff.2,At_rad_2.2,At_vol.2,Mend_num.2,Ion_pot_1.2,Ion_pot_2.2,Thermal_expn.2,Sp_heat_cap.2,Therm_cond.2,Elec_cond.2,Heat_fusion.2,Heat_vap.2,Electronegativity.2,At_num.2,Period.2,Group.2,Valence.2,Ox_state.2,SOAP1,SOAP2,SOAP3,SOAP4,SOAP5,SOAP6
0,II-VI,ZnO,M_i_neut,Tc,7.393611,13.105611,-0.060513,1.077057,2.156374,2.089858,3.541464,2.771087,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,429.16,672.37,672.37,672.37,179.3,179.3,179.3,114.44,,,0.56,4538.0,2477.0,11.5,98.0,14.2,1.27,702.0,1.36,70.0,1.95,8.5,53,7.28,15.26,8.0,0.24,50.6,0.0,23.0,502.0,1.9,43,5,7,7,7,4.51651776898542,1.6272628423404136e-06,4.516517768985426,1.6272628423404352e-06,0.007185296818542799,1.1219491403900527e-35
1,II-VI,ZnO,M_B,Ge,3.421253,12.976211,-0.435348,0.180725,1.244385,1.974179,2.583816,3.538129,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,479.07,479.07,479.07,479.07,2048.0,78.23,78.23,78.23,,,0.53,3107.0,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,4.557811196506845,8.409463094278038e-33,4.27739898422176,4.717051800655213e-33,0.0044509874965887155,9.279552353909114e-36
2,III-V,BN,M_B,F,7.784592,12.883516,-2.417781,2.286439,3.628328,5.497612,6.667351,7.420386,,,,,-7.65,3.63,4.45,5.83,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,28.66,28.66,28.66,28.66,97.53,24.57,24.57,24.57,,,1.33,85.0,53.55,1.7,19.0,16.4,0.72,1681.0,0.72,328.0,0.57,12.6,93,17.42,34.97,1800.0,0.82,0.03,12.0,0.26,3.27,3.98,9,2,17,1,1,14.249773405024122,1.7948657790258758e-33,13.373078361550926,2.2408576685600484e-33,0.01391579434084395,2.3336044408234983e-35
3,IV-IV,GeC,M_i_neut,Cl,12.577776,12.764068,-1.291456,-0.5,0.930116,0.930116,2.707577,3.460955,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,181.89,284.96,284.96,284.96,53.43,53.43,53.43,34.1,,,1.81,239.18,172.17,3.21,35.45,29.0,0.99,1251.1,0.99,348.8,0.97,16.9,94,12.97,23.81,0.0,0.48,0.01,0.0,3.21,10.2,3.16,17,3,17,7,1,4.63315243591369,1.6316407085416245e-06,4.6331524359137,1.6316407085416204e-06,0.007393284176341233,2.721557298661318e-35
4,IV-IV,C,M_A,Mo,12.708806,12.71282,-1.966556,-0.884346,0.711833,3.579084,4.972098,6.259124,,,,,0.0,3.57,4.12,9.49,0.46,0.16,5100,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,3933.4,99.72,99.72,99.72,162.85,162.85,162.85,162.85,,,0.59,4912.0,2896.0,10.22,95.94,15.5,1.3,684.9,1.36,96.0,2.01,9.4,50,7.1,16.46,4.8,0.25,138.0,17.3,36.0,590.4,2.16,42,5,6,6,6,60.46526461206102,6.909287741045778e-33,60.46526461206102,6.909287741045778e-33,0.015234382618307203,2.7257951846460666e-35
5,III-V,BSb,M_i_B,Ca,8.654484,12.511508,-0.469822,0.552169,1.076382,1.395278,1.627818,1.885059,,,,,0.71,5.27,0.76,29.59,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.76,1860.0,903.91,6.69,121.76,30.2,1.4,833.7,1.59,101.0,1.53,18.23,85,8.64,16.53,11.0,0.21,24.3,2.6,19.83,67.97,2.05,51,5,15,5,3,,,37.93,37.93,37.93,21.9,446.73,446.73,446.73,446.73,,,1.0,1757.0,1112.0,1.55,40.08,44.1,1.74,589.8,1.97,-156.0,2.23,25.9,7,6.11,11.87,22.3,0.65,200.0,31.3,8.53,154.67,1.0,20,4,2,2,2,2.902128150692491,2.5173115744492497e-33,2.8866339864587625,2.562244927290785e-33,0.0037429078727172554,2.0760654899126877e-35
6,III-V,BAs,M_i_neut,Te,12.390311,12.421978,-0.577904,0.477692,1.075617,1.635775,2.062998,2.471385,,,,,-0.07,4.81,1.22,25.4,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.58,876.0,1090.0,5.78,74.92,21.5,1.2,947.0,1.39,77.0,1.33,13.1,84,9.81,18.63,15.4,0.33,50.0,3.8,27.7,32.4,2.16,33,4,15,5,3,,,83.26,130.44,130.44,130.44,860.94,860.94,860.94,549.52,,,0.97,1261.0,722.72,6.24,127.6,33.9,1.36,869.2,1.6,190.15,1.42,20.5,90,9.01,18.6,18.8,0.2,2.35,0.0,17.49,50.63,2.1,52,5,16,6,4,3.913334099307107,1.5581065435478106e-06,3.913334099307108,1.5581065435478345e-06,0.006091926456036281,1.9393268376135876e-35
7,IV-IV,GeC,M_i_B,Cd,11.115172,12.206677,-0.882713,1.441789,2.240143,2.676245,3.164628,3.605579,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,667.14,667.14,667.14,385.17,144.44,144.44,144.44,144.44,,,0.95,1040.0,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,4.637289786948044,2.8926713320826415e-33,4.616038299791712,7.778717945316993e-34,0.006883345663438314,6.280020834688352e-35
8,III-V,BP,M_i_B,Zr,12.276989,12.189989,0.010508,0.548323,1.163855,1.54461,2.073813,2.592478,,,,,-0.81,4.55,1.26,12.73,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.17,553.0,317.3,1.82,30.97,18.9,1.06,1011.7,1.28,71.7,1.23,17.0,83,10.49,19.73,127.0,0.77,0.23,0.0,0.63,12.4,2.19,15,3,15,5,5,,,87.92,87.92,87.92,50.76,304.56,304.56,304.56,304.56,,,0.84,4682.0,2128.0,6.51,91.22,23.2,1.45,660.0,1.6,50.0,2.16,14.1,44,6.34,13.13,5.7,0.28,22.7,2.3,21.0,590.5,1.33,40,5,4,4,4,4.8437532094404,1.7512707274138944e-33,4.822190888802957,1.1935692622697558e-33,0.007249471997941581,7.109245421122829e-35
9,III-V,GaN,M_B,Ag,6.084133,12.146177,-1.046118,1.614444,2.349557,3.114495,3.690092,4.436649,,,,,-6.13,4.55,1.55,15.0,0.26,0.62,2478,302.92,5.91,69.72,19.6,1.26,578.8,1.41,29.0,1.81,11.8,74,6.0,20.51,19.7,0.37,40.6,1.8,5.59,256.06,1.81,31,4,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,739.8,739.8,739.8,739.8,5152.34,102.3,102.3,102.3,,,1.15,2436.0,1235.08,10.5,107.87,17.0,1.34,731.0,1.44,125.7,1.75,10.3,65,7.58,21.49,18.9,0.23,429.0,62.9,11.3,250.63,1.93,47,5,11,2,1,4.879882595668207,2.144720869782331e-33,4.579655443786262,1.5138558082424496e-33,0.004765510347332224,3.5365584695279057e-35
10,III-V,BSb,M_i_neut,Bi,10.711476,11.856005,0.354375,0.779367,0.945035,1.342698,1.648065,1.907068,,,,,0.71,5.27,0.76,29.59,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.76,1860.0,903.91,6.69,121.76,30.2,1.4,833.7,1.59,101.0,1.53,18.23,85,8.64,16.53,11.0,0.21,24.3,2.6,19.83,67.97,2.05,51,5,15,5,3,,,121.17,189.84,189.84,189.84,1936.35,1936.35,1936.35,1235.95,,,1.03,1837.0,544.59,9.75,208.98,35.3,1.46,703.3,1.7,110.0,1.63,21.3,86,7.29,16.69,13.4,0.12,7.87,0.9,11.0,179.0,2.02,83,6,15,5,3,2.900427645771606,1.1660614895764986e-06,2.900427645771605,1.1660614895764977e-06,0.004190570925523012,1.2623745298503207e-34
11,II-VI,ZnS,M_B,Ca,7.840036,11.851716,0.643311,1.806255,2.438316,2.954588,3.61211,4.37799,,,,,-2.01,5.45,2.01,5.9,3.39,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,254.39,254.39,254.39,254.39,662.89,83.08,83.08,83.08,,,1.0,1757.0,1112.0,1.55,40.08,44.1,1.74,589.8,1.97,-156.0,2.23,25.9,7,6.11,11.87,22.3,0.65,200.0,31.3,8.53,154.67,1.0,20,4,2,2,2,2.6847747070956514,1.4662707905749376e-33,2.5195981382020713,1.756998234020793e-33,0.0026218502998980823,2.2421134213893953e-36
12,II-VI,CdO,M_B,V,5.063959,11.776599,-0.161538,0.582818,1.151263,1.722594,2.192388,2.699806,,,,,-2.04,5.15,0.47,9.63,6.0,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,494.83,494.83,494.83,494.83,927.08,50.5,50.5,50.5,,,0.54,3650.0,2163.0,6.11,50.94,13.8,1.22,650.0,1.32,50.0,1.92,8.78,46,6.74,14.65,8.4,0.49,30.7,4.0,22.8,446.7,1.63,23,4,5,5,5,3.154664114518528,1.006230830375194e-33,2.960578334035448,9.981903940260066e-34,0.003080726674334495,7.003420933801276e-36
13,IV-IV,SnC,M_i_neut,S,8.562266,11.769457,-0.394261,-0.394261,0.711776,0.711776,2.86475,2.86475,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,242.1,379.29,379.29,379.29,45.52,45.52,45.52,29.05,,,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,3.2269046479405756,1.3420702854527596e-06,3.226904647940565,1.3420702854527816e-06,0.004811708847988218,2.6122105910727576e-35
14,II-VI,ZnS,M_i_B,Cs,8.308364,11.702284,-0.718551,-0.29016,2.782675,3.528923,4.283688,5.036796,,,,,-2.01,5.45,2.01,5.9,3.39,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,605.85,605.85,605.85,349.79,373.1,373.1,373.1,373.1,,,1.74,944.0,301.54,1.87,132.91,67.5,2.35,375.7,2.67,45.49,3.34,71.07,5,3.89,25.1,100.0,0.24,35.9,5.3,2.09,67.74,0.79,55,6,1,1,1,2.6400378022784032,1.3109056044203937e-33,2.6262369858463277,1.549208319976125e-33,0.0032728566349790583,4.3594492475295795e-35
15,II-VI,ZnS,M_i_neut,Zr,6.589511,11.514191,0.708436,1.727849,2.2778,2.66033,3.541505,4.224281,,,,,-2.01,5.45,2.01,5.9,3.39,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,339.19,531.4,531.4,531.4,283.41,283.41,283.41,180.9,,,0.84,4682.0,2128.0,6.51,91.22,23.2,1.45,660.0,1.6,50.0,2.16,14.1,44,6.34,13.13,5.7,0.28,22.7,2.3,21.0,590.5,1.33,40,5,4,4,4,2.638852207351708,9.831788367567522e-07,2.638852207351711,9.831788367567598e-07,0.00368832335171984,7.714390646485324e-35
16,IV-IV,SnC,M_i_neut,Br,10.518963,11.272828,-0.83364,-0.2,0.814702,0.814702,2.036699,2.605436,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,529.59,829.7,829.7,829.7,99.56,99.56,99.56,63.55,,,1.96,331.85,265.95,3.12,79.9,65.1,1.14,1139.9,1.14,324.6,1.12,25.6,95,11.81,21.8,0.0,0.23,0.12,0.0,5.29,14.72,2.96,35,4,17,7,1,3.2269046479405756,1.3420702854527596e-06,3.226904647940565,1.3420702854527816e-06,0.004811708847988218,2.6122105910727576e-35
17,II-VI,ZnS,M_i_A,Ta,6.488747,11.241427,0.265477,1.378882,2.562833,2.990046,3.568712,4.279407,,,,,-2.01,5.45,2.01,5.9,3.39,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,928.52,928.52,928.52,928.52,428.87,428.87,428.87,247.61,,,0.64,5730.0,3293.0,16.65,180.95,17.6,1.34,761.0,1.43,60.0,2.09,10.9,48,7.89,15.0,6.3,0.14,57.5,8.1,36.0,737.0,1.5,73,6,5,5,5,2.6262369858463246,1.2975380565924704e-33,2.6400378022784063,1.6480931974907875e-33,0.003272856634979068,1.5835531799237419e-35
18,IV-IV,SnC,M_i_neut,Cd,6.920515,11.191706,-0.662983,0.989869,1.619374,1.987075,2.320754,2.634871,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,726.29,1137.88,1137.88,1137.88,136.55,136.55,136.55,87.15,,,0.95,1040.0,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,3.2269046479405756,1.3420702854527596e-06,3.226904647940565,1.3420702854527816e-06,0.004811708847988218,2.6122105910727576e-35
19,III-V,AlN,M_i_B,Au,12.361765,11.107765,-1.343939,-0.4629,3.451758,4.447443,5.308071,6.184214,,,,,-8.0,4.4,3.28,6.8,3.15,0.54,2740,933.5,2.7,26.98,16.6,1.18,577.6,1.43,45.0,1.62,10.0,73,5.99,18.83,23.1,0.9,237.0,37.7,10.7,290.8,1.61,13,3,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,467.25,467.25,467.25,269.77,290.52,290.52,290.52,290.52,,,0.85,3130.0,1337.58,19.3,196.97,16.9,1.34,890.1,1.44,222.74,1.79,10.2,66,9.22,20.52,14.2,0.13,317.0,48.8,12.36,324.43,2.54,79,6,11,3,3,5.5658728012690535,1.1418723564396263e-33,5.543565622751967,1.5032056449016995e-34,0.008509976365671116,2.915488313920878e-35
20,II-VI,ZnO,M_B,Cr,2.665525,11.10592,-0.282258,0.8948,1.87301,2.644346,3.500491,4.108889,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,359.3,359.3,359.3,359.3,1026.78,58.67,58.67,58.67,,,0.62,2945.0,2130.0,7.19,52.0,12.0,1.18,652.8,1.25,64.0,1.85,7.23,49,6.77,16.5,4.9,0.45,93.7,7.9,20.0,339.5,1.66,24,4,6,6,3,4.557811196506845,8.409463094278038e-33,4.27739898422176,4.717051800655213e-33,0.0044509874965887155,9.279552353909114e-36
21,IV-IV,SnC,M_i_B,Mg,5.396334,11.09989,-0.748046,0.923224,1.607065,1.928181,2.253292,2.576557,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,235.87,235.87,235.87,136.18,32.68,32.68,32.68,32.68,,,0.72,1380.0,922.0,1.74,24.3,23.4,1.36,737.7,1.6,-230.0,1.72,13.97,68,7.65,15.04,24.8,1.02,156.0,22.4,8.95,127.6,1.31,12,3,2,2,2,3.229197037919513,3.767659353575503e-33,3.212002410902907,4.5253422437813335e-33,0.004336450799528546,5.381251627845574e-35
22,III-V,InN,M_i_B,Cs,9.811476,11.059476,-0.031841,-0.646817,1.042062,1.692054,2.605614,3.000505,,,,,-5.03,5.05,0.59,9.77,0.08,0.8,2350,429.78,7.31,114.82,26.1,1.44,558.3,1.66,29.0,2.0,15.7,75,5.79,18.87,32.1,0.23,81.6,3.4,3.26,226.34,1.78,49,5,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,1067.2,1067.2,1067.2,616.15,176.04,176.04,176.04,176.04,,,1.74,944.0,301.54,1.87,132.91,67.5,2.35,375.7,2.67,45.49,3.34,71.07,5,3.89,25.1,100.0,0.24,35.9,5.3,2.09,67.74,0.79,55,6,1,1,1,3.312575647364227,4.883103329071024e-33,3.2950086224195174,3.1115108648455315e-33,0.004488340347379993,4.578074124738458e-35
23,IV-IV,GeC,M_i_neut,Re,9.813891,10.882144,-0.666817,1.110141,1.1505,1.762769,1.962578,3.011372,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,802.44,1257.19,1257.19,1257.19,235.72,235.72,235.72,150.46,,,0.53,5870.0,3455.0,21.0,186.21,14.7,1.28,760.0,1.37,14.0,1.97,8.85,54,7.88,12.6,6.2,0.14,47.9,5.8,33.05,707.1,1.9,75,6,7,7,7,4.63315243591369,1.6316407085416245e-06,4.6331524359137,1.6316407085416204e-06,0.007393284176341233,2.721557298661318e-35
24,II-VI,CdSe,M_B,Hf,7.043147,10.881694,-0.37404,0.147587,1.121379,1.533533,1.837506,2.415374,,,,,-1.28,6.21,0.48,8.11,3.97,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.75,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,1285.9,1285.9,1285.9,1285.9,14340.62,557.78,557.78,557.78,,,0.83,4875.0,2504.0,13.31,178.49,22.4,1.44,642.0,1.56,0.0,2.16,13.6,45,6.65,14.93,5.9,0.14,23.0,3.4,21.76,661.07,1.3,72,6,4,4,4,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
25,III-V,BP,M_i_B,Ta,10.966893,10.878893,-0.342092,0.323053,0.87504,1.335429,1.969576,2.638146,,,,,-0.81,4.55,1.26,12.73,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.17,553.0,317.3,1.82,30.97,18.9,1.06,1011.7,1.28,71.7,1.23,17.0,83,10.49,19.73,127.0,0.77,0.23,0.0,0.63,12.4,2.19,15,3,15,5,5,,,160.45,160.45,160.45,92.64,555.82,555.82,555.82,555.82,,,0.64,5730.0,3293.0,16.65,180.95,17.6,1.34,761.0,1.43,60.0,2.09,10.9,48,7.89,15.0,6.3,0.14,57.5,8.1,36.0,737.0,1.5,73,6,5,5,5,4.8437532094404,1.7512707274138944e-33,4.822190888802957,1.1935692622697558e-33,0.007249471997941581,7.109245421122829e-35
26,II-VI,CdO,M_i_A,Ta,5.72641,10.819442,0.882493,1.215257,1.616858,1.923344,2.586034,2.91908,,,,,-2.04,5.15,0.47,9.63,6.0,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,1570.54,1570.54,1570.54,1570.54,226.69,226.69,226.69,130.88,,,0.64,5730.0,3293.0,16.65,180.95,17.6,1.34,761.0,1.43,60.0,2.09,10.9,48,7.89,15.0,6.3,0.14,57.5,8.1,36.0,737.0,1.5,73,6,5,5,5,3.0952276925875357,1.0880975815688512e-33,3.111858505956018,9.647668675381332e-34,0.004122976705741363,2.436819669391544e-35
